K,1,-127,0,-3075
K,2,-133.1733,0,-2600.375
K,3,-126,0,-3076
K,4,-119,0,-3082
K,5,-115,0,-3084
K,6,-108,0,-3085
K,7,-105,0,-3085
K,8,-97,0,-3084
K,9,-92,0,-3083
K,10,-90,0,-3082
K,11,-85,0,-3078
K,12,-83,0,-3075
K,13,-82,0,-3072
K,14,-82,0,-3066
K,15,-81,0,-3061
K,16,-79,0,-3056
K,17,-75,0,-3052
K,18,-70,0,-3049
K,19,-68,0,-3048
K,20,-64,0,-3050
K,21,-60,0,-3052
K,22,-49,0,-3052
K,23,-44,0,-3049
K,24,-41,0,-3044
K,25,-39,0,-3036
K,26,-38,0,-3027
K,27,-38,0,-3022
K,28,-39,0,-3016
K,29,-40,0,-3012
K,30,-41,0,-3009
K,31,-43,0,-3009
K,32,-46,0,-3007
K,33,-49,0,-3003
K,34,-53,0,-2996
K,35,-61,0,-2977
K,36,-63,0,-2971
K,37,-65,0,-2965
K,38,-68,0,-2955
K,39,-70,0,-2949
K,40,-72,0,-2944
K,41,-75,0,-2937
K,42,-78,0,-2930
K,43,-80,0,-2924
K,44,-82,0,-2916
K,45,-84,0,-2910
K,46,-86,0,-2903
K,47,-88,0,-2897
K,48,-91,0,-2886
K,49,-92,0,-2882
K,50,-94,0,-2873
K,51,-95,0,-2868
K,52,-96,0,-2864
K,53,-100,0,-2849
K,54,-103.7647,0,-2834
K,55,-108,0,-2816
K,56,-110.5882,0,-2805
K,57,-114,0,-2784
K,58,-117,0,-2759
K,59,-122,0,-2731
K,60,-127,0,-2700
K,61,-127,0,-2670
K,62,-123,0,-2653
K,63,-119,0,-2645
K,64,-117,0,-2636
K,65,-118,0,-2626
K,66,-120,0,-2614
K,67,-122,0,-2607
K,68,-127,0,-2602
K,69,-140,0,-2601
K,70,-149,0,-2604
K,71,-156.8404,0,-2608
K,72,-161,0,-2611
K,73,-165,0,-2613
K,74,-167,0,-2613
K,75,-174,0,-2610
K,76,-181,0,-2605
K,77,-189,0,-2603
K,78,-200,0,-2603
K,79,-206,0,-2606
K,80,-209,0,-2609
K,81,-210,0,-2614
K,82,-213,0,-2620
K,83,-216,0,-2628
K,84,-213,0,-2645
K,85,-211,0,-2652
K,86,-205,0,-2658
K,87,-200,0,-2662
K,88,-194,0,-2668
K,89,-188,0,-2677
K,90,-178,0,-2700
K,91,-173,0,-2716
K,92,-168,0,-2731
K,93,-164,0,-2746
K,94,-162,0,-2756
K,95,-157,0,-2774
K,96,-150,0,-2795
K,97,-144.1176,0,-2815
K,98,-139,0,-2835
K,99,-136.1176,0,-2849
K,100,-132.5882,0,-2864
K,101,-130,0,-2875
K,102,-125,0,-2892
K,103,-122,0,-2905
K,104,-119,0,-2915
K,105,-116,0,-2927
K,106,-110,0,-2948
K,107,-107,0,-2958
K,108,-106,0,-2964
K,109,-105,0,-2969
K,110,-104,0,-2973
K,111,-104,0,-2976
K,112,-106,0,-2981
K,113,-107,0,-2986
K,114,-106,0,-2992
K,115,-103,0,-2995
K,116,-103,0,-2997
K,117,-104,0,-3005
K,118,-106,0,-3015
K,119,-107,0,-3019
K,120,-108,0,-3024
K,121,-111,0,-3032
K,122,-114,0,-3036
K,123,-117,0,-3039
K,124,-121,0,-3040
K,125,-123,0,-3041
K,126,-125,0,-3044
K,127,-127,0,-3047
K,128,-129,0,-3049
K,129,-130,0,-3051
K,130,-131,0,-3057
K,131,-131,0,-3061
K,132,-130,0,-3068
